,storage-abiencoderv2-array,arbitrary-from-in-transferfrom,modifying-storage-array-by-value,abi-encodepacked-collision,incorrect-shift-in-assembly,missing-return-statements,multiple-constructor-schemes,protected-variables,public-mappings-with-nested-variables,right-to-left-override-character,state-variable-shadowing,suicidal,uninitialized-state-variables,uninitialized-storage-variables,unprotected-upgradeable-contract,arbitrary-from-in-transferfrom-used-with-permit,functions-that-send-ether-to-arbitrary-destinations,array-length-assignment,controlled-delegatecall,payable-functions-using-delegatecall-inside-a-loop,incorrect-function-visibility,incorrect-exponentiation,incorrect-return-in-assembly,incorrect-msgsender-check,missing-constructor,modifier-looks-like-solidity-keyword,msgvalue-inside-a-loop,overflow-in-erc20-balance,unprotected-ecrecover-leads-to-a-race-condition,race-conditions-at-contracts-initialization,reentrancy-vulnerabilities,storage-signed-integer-array,unchecked-transfer,unprotected-functions,weak-prng,dangerous-enum-conversion,incorrect-erc20-interface,incorrect-erc721-interface,dangerous-strict-equalities,incorrect-iscontract-modifier,contracts-that-lock-ether,deletion-on-mapping-containing-a-structure,state-variable-shadowing-from-abstract-contracts,tautological-compare,tautology-or-contradiction,write-after-write,incorrect-balance-value,misuse-of-a-boolean-constant,constant-functions-using-assembly-code,constant-functions-changing-the-state,controlled-loop-iteration,controlled-lowlevelcall,divide-before-multiply,empty-functions,lack-of-msgsender-usage-in-transferfrom,msgvalue-usage-on-non-payable-functions,overflow-in-erc20-allowance,absence-of-pausable-modifier,reentrancy-vulnerabilities-1,reused-base-constructors,dangerous-usage-of-txgasprice,dangerous-usage-of-txorigin,unchecked-blockhash,unchecked-low-level-calls,unchecked-send,uninitialized-local-variables,uninitialized-return-statements,unspecified-operation-order,unused-events,unused-return,unused-return-internal,detect-use-after-delete,incorrect-modifier,builtin-symbol-shadowing,local-variable-shadowing,uninitialized-function-pointers-in-constructors,pre-declaration-usage-of-local-variables,calls-inside-a-loop,missing-events-access-control,missing-events-arithmetic,dangerous-unary-expressions,missing-zero-address-validation,reentrancy-vulnerabilities-2,block-timestamp,assembly-usage,assert-state-change,boolean-equality,unindexed-erc20-event-parameters,low-level-calls,missing-inheritance,conformance-to-solidity-naming-conventions,different-pragma-directives-are-used,redundant-statements,incorrect-versions-of-solidity,unimplemented-functions,unused-state-variable,costly-operations-inside-a-loop,dead-code,reentrancy-vulnerabilities-3,reentrancy-vulnerabilities-4,variable-names-too-similar,too-many-digits,state-variables-that-could-be-declared-constant,public-function-that-could-be-declared-external,blockash-on-current-block
mapping_write,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
multiowned_vulnerable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
parity_wallet_bug_2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0
incorrect_constructor_name3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
FibonacciBalance,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
simple_suicide,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
incorrect_constructor_name1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
wallet_03_wrong_constructor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
incorrect_constructor_name2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
wallet_02_refund_nosub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
